hidden_size,port,train_fitted,train_real,train_MAPE,train_RMSE,test_results,test_real,test_MAPE,test_RMSE
100,Long Beach(10kTEU),"[[667.87354]
 [676.53217]
 [687.06696]
 [686.05133]
 [542.0876 ]
 [623.8476 ]
 [595.8351 ]
 [635.7553 ]
 [649.2253 ]
 [686.9928 ]
 [706.40784]]","[[671. ]
 [729. ]
 [731.2]
 [648.8]
 [506.7]
 [626.3]
 [610. ]
 [604.5]
 [673. ]
 [682.1]
 [719. ]]",3.664529323577881,29.04794,"[[701.93695]
 [675.43164]
 [649.6349 ]
 [671.21796]]","[[754.]
 [809.]
 [763.]
 [811.]]",13.877198100090027,115.04536
128,Ningbo(10kTEU),"[[ 579.3713 ]
 [ 692.73926]
 [ 868.02136]
 [1083.0719 ]
 [1224.0515 ]
 [1183.9062 ]
 [1433.0533 ]
 [1579.4227 ]
 [1712.8165 ]
 [1850.2529 ]
 [2090.2368 ]]","[[ 520.8    ]
 [ 706.7999 ]
 [ 934.99994]
 [1084.5999 ]
 [1042.     ]
 [1300.4    ]
 [1451.2    ]
 [1567.1    ]
 [1677.4    ]
 [1869.9999 ]
 [2063.     ]]",4.863109371878884,72.42399,"[[2419.1277]
 [2751.0137]
 [2942.7183]
 [3068.3015]]","[[2461.]
 [2635.]
 [2749.]
 [2872.]]",4.99652624130249,151.05754
128,Shanghai(10kTEU),"[[1841.4014]
 [2230.756 ]
 [2632.355 ]
 [2911.1858]
 [2929.615 ]
 [2951.4133]
 [3080.055 ]
 [3443.6887]
 [3550.5986]
 [3697.8367]
 [3923.5657]]","[[1808.4   ]
 [2171.    ]
 [2615.    ]
 [2798.    ]
 [2500.2   ]
 [2906.8997]
 [3173.9   ]
 [3252.9   ]
 [3361.7   ]
 [3528.5   ]
 [3654.    ]]",4.964573274959217,187.4182,"[[4169.0854]
 [4567.064 ]
 [4795.129 ]
 [4960.411 ]]","[[4023.0002]
 [4201.    ]
 [4330.    ]
 [4350.    ]]",9.279857575893402,431.36133
128,Singapore(10kTEU),"[[2326.3613]
 [2539.8489]
 [2754.6484]
 [2990.243 ]
 [3007.8472]
 [2866.14  ]
 [2988.331 ]
 [3011.2317]
 [3300.804 ]
 [3458.199 ]
 [3235.988 ]]","[[2319.2   ]
 [2479.2   ]
 [2793.6   ]
 [2991.8   ]
 [2586.7   ]
 [2843.1   ]
 [2993.8   ]
 [3164.9   ]
 [3257.8997]
 [3386.9   ]
 [3092.    ]]",3.12818397175182,145.99059,"[[3174.0422]
 [3288.2253]
 [2509.5117]
 [2349.5957]]","[[3366.9998]
 [3660.    ]
 [3720.    ]
 [3660.    ]]",21.058006584644318,916.22736
128,Shenzhen(10kTEU),"[[1621.8066]
 [1874.6495]
 [2176.9604]
 [2054.0486]
 [2057.9995]
 [2187.355 ]
 [2257.654 ]
 [2268.7764]
 [2336.2397]
 [2397.868 ]
 [2536.2583]]","[[1619.7]
 [1846.9]
 [2109.9]
 [2141.4]
 [1825. ]
 [2250.9]
 [2257. ]
 [2294. ]
 [2327.8]
 [2403.7]
 [2420. ]]",2.8198239478197964,88.1561,"[[2524.0422]
 [2747.5403]
 [3198.656 ]
 [2847.5188]]","[[2521.]
 [2774.]
 [2577.]
 [2655.]]",8.112236857414246,325.66434
128,Hong Kong(10kTEU),"[[2236.1511]
 [2227.1023]
 [2393.458 ]
 [2477.5486]
 [2226.019 ]
 [2392.4133]
 [2422.7705]
 [2298.783 ]
 [2318.8447]
 [2219.1245]
 [2204.4524]]","[[2242.7]
 [2353.9]
 [2399.8]
 [2449.4]
 [2104. ]
 [2369.9]
 [2438.4]
 [2311.7]
 [2236.7]
 [2222.6]
 [2007. ]]",2.6098576459017666,84.480774,"[[2599.7546]
 [2439.354 ]
 [2635.2117]
 [2854.8162]]","[[2076.]
 [1960.]
 [1830.]
 [2007.]]",33.98236632347107,683.96954
128,Busan(10kTEU),"[[1236.0481]
 [1273.3419]
 [1293.2106]
 [1305.5951]
 [1316.2001]
 [1287.898 ]
 [1593.7393]
 [1727.364 ]
 [1804.599 ]
 [1869.2184]
 [1969.3782]]","[[1184.3   ]
 [1203.    ]
 [1327.    ]
 [1345.2   ]
 [1197.9999]
 [1419.4   ]
 [1618.4   ]
 [1704.6   ]
 [1768.6   ]
 [1867.8   ]
 [1945.    ]]",3.7329318848523223,63.68873,"[[2072.6863]
 [2127.114 ]
 [2226.612 ]
 [2254.672 ]]","[[2049.]
 [2166.]
 [2199.]
 [2159.]]",2.1595656871795654,54.74655
128,Guangzhou(10kTEU),"[[ 464.5891 ]
 [ 657.79553]
 [ 983.84625]
 [1080.0233 ]
 [1141.2023 ]
 [1159.1908 ]
 [1288.6328 ]
 [1451.3873 ]
 [1497.3584 ]
 [1551.2292 ]
 [1674.1039 ]]","[[ 468.5   ]
 [ 660.    ]
 [1025.7   ]
 [1100.1   ]
 [1119.    ]
 [1255.    ]
 [1426.    ]
 [1474.3002]
 [1530.9   ]
 [1660.    ]
 [1722.0001]]",3.5822394219311797,65.01204,"[[1875.1709]
 [2007.1626]
 [2137.3726]
 [2255.4292]]","[[2037.0001]
 [2187.    ]
 [2323.    ]
 [2319.    ]]",6.724914163351059,155.74738
128,Qingdao(10kTEU),"[[ 665.20575]
 [ 769.74426]
 [ 894.7068 ]
 [1052.3655 ]
 [1129.2241 ]
 [1123.8494 ]
 [1317.6841 ]
 [1437.8136 ]
 [1564.8489 ]
 [1651.9661 ]
 [1742.7665 ]]","[[ 630.7   ]
 [ 770.2   ]
 [ 946.2   ]
 [1032.    ]
 [1026.    ]
 [1201.2   ]
 [1302.    ]
 [1450.3   ]
 [1552.    ]
 [1657.9999]
 [1747.0001]]",2.995063229040666,44.227528,"[[1856.7119]
 [1879.1554]
 [1876.0596]
 [2088.883 ]]","[[1830.]
 [1826.]
 [2101.]
 [2200.]]",5.031954497098923,128.92265
128,Dubai(10kTEU),"[[ 863.0822 ]
 [ 980.66455]
 [1004.5073 ]
 [1151.0149 ]
 [1232.2686 ]
 [1175.2498 ]
 [1214.4648 ]
 [1338.1241 ]
 [1393.5092 ]
 [1483.2185 ]
 [1573.8815 ]]","[[ 861.9]
 [ 892.3]
 [1079.1]
 [1182.7]
 [1110. ]
 [1160. ]
 [1300. ]
 [1327. ]
 [1364.1]
 [1524.9]
 [1560. ]]",4.105328700759194,60.147396,"[[1590.0714]
 [1578.1298]
 [1563.1997]
 [1533.1904]]","[[1537.]
 [1495.]
 [1411.]
 [1350.]]",8.34243968129158,128.89009
